"mturk_participant_id","trial_id","rt","response","itemA","itemB","categoryA","categoryB","type","category_pairs","item_pairs","item_pair_means"
"pilot_sv3offwvby","causal_trial_14",2681,84,"think about something","feel tired","cog","bio","across domain","cog-bio","think about something-feel tired",69
"pilot_sv3offwvby","causal_trial_15",3030,33,"take a walk","jump up and down","act","act","within domain","act-act","take a walk-jump up and down",56
"pilot_sv3offwvby","causal_trial_16",3297,74,"feel scared","reach for something","bio","act","across domain","bio-act","feel scared-reach for something",78
"pilot_sv3offwvby","causal_trial_17",2446,26,"hear something","feel hungry","cog","bio","across domain","cog-bio","hear something-feel hungry",55
"pilot_sv3offwvby","causal_trial_18",2080,70,"sit down","feel sick","act","bio","across domain","act-bio","sit down-feel sick",54
"pilot_sv3offwvby","causal_trial_19",4363,77,"sit down","remember something","act","cog","across domain","act-cog","sit down-remember something",69
"pilot_sv3offwvby","causal_trial_20",2163,33,"feel pain","feel hungry","bio","bio","within domain","bio-bio","feel pain-feel hungry",50
"pilot_sv3offwvby","causal_trial_21",3098,66,"hear something","feel sick","cog","bio","across domain","cog-bio","hear something-feel sick",66
"pilot_sv3offwvby","causal_trial_22",2180,29,"feel sick","take a walk","bio","act","across domain","bio-act","feel sick-take a walk",38
"pilot_sv3offwvby","causal_trial_23",2646,71,"think about something","feel sick","cog","bio","across domain","cog-bio","think about something-feel sick",81
"pilot_sv3offwvby","causal_trial_24",2530,72,"kick something","sit down","act","act","within domain","act-act","kick something-sit down",55
"pilot_sv3offwvby","causal_trial_25",2646,13,"feel pain","see something","bio","cog","across domain","bio-cog","feel pain-see something",26
"pilot_sv3offwvby","causal_trial_26",2697,23,"think about something","feel hungry","cog","bio","across domain","cog-bio","think about something-feel hungry",23
"pilot_sv3offwvby","causal_trial_27",4531,73,"see something","feel hungry","cog","bio","across domain","cog-bio","see something-feel hungry",64
"pilot_sv3offwvby","causal_trial_28",2281,23,"jump up and down","take a walk","act","act","within domain","act-act","jump up and down-take a walk",42
"pilot_sv3offwvby","causal_trial_29",2347,15,"feel hungry","take a walk","bio","act","across domain","bio-act","feel hungry-take a walk",34
"pilot_sv3offwvby","causal_trial_30",2879,69,"feel scared","choose what to do","bio","cog","across domain","bio-cog","feel scared-choose what to do",76
"pilot_sv3offwvby","causal_trial_31",2429,25,"reach for something","feel sick","act","bio","across domain","act-bio","reach for something-feel sick",37
"pilot_sv3offwvby","causal_trial_32",4348,73,"choose what to do","feel scared","cog","bio","across domain","cog-bio","choose what to do-feel scared",84
"pilot_sv3offwvby","causal_trial_33",2330,69,"see something","sit down","cog","act","across domain","cog-act","see something-sit down",56
"pilot_sv3offwvby","causal_trial_34",2496,13,"feel hungry","jump up and down","bio","act","across domain","bio-act","feel hungry-jump up and down",31
"pilot_sv3offwvby","causal_trial_35",3880,20,"take a walk","feel scared","act","bio","across domain","act-bio","take a walk-feel scared",26
"pilot_sv3offwvby","causal_trial_36",1980,21,"choose what to do","see something","cog","cog","within domain","cog-cog","choose what to do-see something",21
"pilot_sv3offwvby","causal_trial_37",3446,68,"kick something","feel hungry","act","bio","across domain","act-bio","kick something-feel hungry",64
"pilot_sv3offwvby","causal_trial_38",3664,77,"remember something","reach for something","cog","act","across domain","cog-act","remember something-reach for something",88
"pilot_sv3offwvby","causal_trial_39",2331,28,"reach for something","kick something","act","act","within domain","act-act","reach for something-kick something",52
"pilot_sv3offwvby","causal_trial_40",2429,72,"reach for something","feel tired","act","bio","across domain","act-bio","reach for something-feel tired",49
"pilot_sv3offwvby","causal_trial_41",2631,78,"remember something","feel scared","cog","bio","across domain","cog-bio","remember something-feel scared",89
"pilot_sv3offwvby","causal_trial_42",2701,67,"remember something","take a walk","cog","act","across domain","cog-act","remember something-take a walk",51
"pilot_w9ul6gfmx6","causal_trial_1",13409,72,"reach for something","hear something","act","cog","across domain","act-cog","reach for something-hear something",60
"pilot_w9ul6gfmx6","causal_trial_2",9921,15,"remember something","hear something","cog","cog","within domain","cog-cog","remember something-hear something",16
"pilot_w9ul6gfmx6","causal_trial_3",26254,84,"kick something","reach for something","act","act","within domain","act-act","kick something-reach for something",63
"pilot_w9ul6gfmx6","causal_trial_4",3349,71,"sit down","hear something","act","cog","across domain","act-cog","sit down-hear something",49
"pilot_w9ul6gfmx6","causal_trial_5",9745,80,"kick something","feel scared","act","bio","across domain","act-bio","kick something-feel scared",75
"pilot_w9ul6gfmx6","causal_trial_6",4650,79,"take a walk","feel hungry","act","bio","across domain","act-bio","take a walk-feel hungry",78
"pilot_w9ul6gfmx6","causal_trial_7",7011,75,"hear something","feel pain","cog","bio","across domain","cog-bio","hear something-feel pain",44
"pilot_w9ul6gfmx6","causal_trial_8",8617,50,"take a walk","hear something","act","cog","across domain","act-cog","take a walk-hear something",39
"pilot_w9ul6gfmx6","causal_trial_9",5700,59,"take a walk","feel sick","act","bio","across domain","act-bio","take a walk-feel sick",71
"pilot_w9ul6gfmx6","causal_trial_10",7849,81,"think about something","reach for something","cog","act","across domain","cog-act","think about something-reach for something",79
"pilot_w9ul6gfmx6","causal_trial_11",14462,36,"think about something","kick something","cog","act","across domain","cog-act","think about something-kick something",62
"pilot_w9ul6gfmx6","causal_trial_12",10076,88,"choose what to do","remember something","cog","cog","within domain","cog-cog","choose what to do-remember something",58
"pilot_w9ul6gfmx6","causal_trial_13",6724,67,"kick something","see something","act","cog","across domain","act-cog","kick something-see something",64
"pilot_w9ul6gfmx6","causal_trial_14",12378,50,"feel tired","feel pain","bio","bio","within domain","bio-bio","feel tired-feel pain",67
"pilot_w9ul6gfmx6","causal_trial_15",20102,60,"jump up and down","feel scared","act","bio","across domain","act-bio","jump up and down-feel scared",50
"pilot_w9ul6gfmx6","causal_trial_16",6275,75,"see something","take a walk","cog","act","across domain","cog-act","see something-take a walk",79
"pilot_w9ul6gfmx6","causal_trial_17",23387,80,"reach for something","see something","act","cog","across domain","act-cog","reach for something-see something",52
"pilot_w9ul6gfmx6","causal_trial_18",8848,32,"kick something","remember something","act","cog","across domain","act-cog","kick something-remember something",56
"pilot_w9ul6gfmx6","causal_trial_19",20203,85,"take a walk","sit down","act","act","within domain","act-act","take a walk-sit down",84
"pilot_w9ul6gfmx6","causal_trial_20",6769,35,"kick something","feel tired","act","bio","across domain","act-bio","kick something-feel tired",50
"pilot_w9ul6gfmx6","causal_trial_21",51970,94,"feel hungry","choose what to do","bio","cog","across domain","bio-cog","feel hungry-choose what to do",88
"pilot_w9ul6gfmx6","causal_trial_22",53230,90,"see something","feel scared","cog","bio","across domain","cog-bio","see something-feel scared",79
"pilot_w9ul6gfmx6","causal_trial_23",2743,86,"feel sick","feel pain","bio","bio","within domain","bio-bio","feel sick-feel pain",87
"pilot_w9ul6gfmx6","causal_trial_24",4027,92,"feel sick","feel scared","bio","bio","within domain","bio-bio","feel sick-feel scared",84
"pilot_w9ul6gfmx6","causal_trial_25",3534,22,"sit down","feel sick","act","bio","across domain","act-bio","sit down-feel sick",54
"pilot_w9ul6gfmx6","causal_trial_26",5525,89,"feel scared","think about something","bio","cog","across domain","bio-cog","feel scared-think about something",67
"pilot_w9ul6gfmx6","causal_trial_27",3995,84,"reach for something","choose what to do","act","cog","across domain","act-cog","reach for something-choose what to do",84
"pilot_w9ul6gfmx6","causal_trial_28",5515,59,"feel hungry","jump up and down","bio","act","across domain","bio-act","feel hungry-jump up and down",31
"pilot_w9ul6gfmx6","causal_trial_29",3248,53,"see something","jump up and down","cog","act","across domain","cog-act","see something-jump up and down",78
"pilot_w9ul6gfmx6","causal_trial_30",6175,34,"kick something","sit down","act","act","within domain","act-act","kick something-sit down",55
"pilot_w9ul6gfmx6","causal_trial_31",28430,89,"remember something","feel scared","cog","bio","across domain","cog-bio","remember something-feel scared",89
"pilot_w9ul6gfmx6","causal_trial_32",2663,68,"jump up and down","feel pain","act","bio","across domain","act-bio","jump up and down-feel pain",65
"pilot_w9ul6gfmx6","causal_trial_33",5650,68,"remember something","feel tired","cog","bio","across domain","cog-bio","remember something-feel tired",66
"pilot_w9ul6gfmx6","causal_trial_34",5346,75,"reach for something","kick something","act","act","within domain","act-act","reach for something-kick something",52
"pilot_w9ul6gfmx6","causal_trial_35",4377,61,"hear something","feel hungry","cog","bio","across domain","cog-bio","hear something-feel hungry",55
"pilot_w9ul6gfmx6","causal_trial_36",10756,73,"choose what to do","sit down","cog","act","across domain","cog-act","choose what to do-sit down",83
"pilot_w9ul6gfmx6","causal_trial_37",45283,84,"think about something","remember something","cog","cog","within domain","cog-cog","think about something-remember something",92
"pilot_w9ul6gfmx6","causal_trial_38",37741,78,"feel hungry","feel pain","bio","bio","within domain","bio-bio","feel hungry-feel pain",78
"pilot_w9ul6gfmx6","causal_trial_39",2686,32,"choose what to do","feel pain","cog","bio","across domain","cog-bio","choose what to do-feel pain",46
"pilot_w9ul6gfmx6","causal_trial_40",4300,43,"kick something","take a walk","act","act","within domain","act-act","kick something-take a walk",37
"pilot_w9ul6gfmx6","causal_trial_41",3716,77,"think about something","jump up and down","cog","act","across domain","cog-act","think about something-jump up and down",74
"pilot_w9ul6gfmx6","causal_trial_42",5677,63,"feel sick","feel tired","bio","bio","within domain","bio-bio","feel sick-feel tired",72
